no,timestamp
17.4,2016-01-21T14:12:51+01:00
29.0,2016-01-21T14:13:32+01:00
24.2,2016-01-21T14:13:54+01:00
8.1,2016-01-21T14:14:16+01:00
13.2,2016-01-21T14:14:39+01:00
13.0,2016-01-21T14:15:01+01:00
15.7,2016-01-21T14:15:27+01:00
23.0,2016-01-21T14:15:50+01:00
12.3,2016-01-21T14:16:12+01:00
11.0,2016-01-21T14:16:34+01:00
5.8,2016-01-21T14:16:57+01:00
8.2,2016-01-21T14:17:20+01:00
17.4,2016-01-21T14:17:43+01:00
32.0,2016-01-21T14:18:05+01:00
28.2,2016-01-21T14:18:27+01:00
4.0,2016-01-21T15:31:40+01:00
3.4,2016-01-21T15:32:04+01:00
4.8,2016-01-21T15:32:32+01:00
3.5,2016-01-21T15:32:55+01:00
5.4,2016-01-21T15:33:17+01:00
6.0,2016-01-21T15:33:39+01:00
4.5,2016-01-21T15:34:01+01:00
3.6,2016-01-21T15:34:23+01:00
4.5,2016-01-21T15:34:46+01:00
6.6,2016-01-21T15:35:08+01:00
5.1,2016-01-21T15:35:30+01:00
4.4,2016-01-21T15:35:53+01:00
4.6,2016-01-21T15:36:15+01:00
4.6,2016-01-21T15:36:36+01:00
0.1,2016-01-21T15:38:36+01:00
0.2,2016-01-21T15:38:59+01:00
0.2,2016-01-21T15:39:21+01:00
0.1,2016-01-21T15:39:43+01:00
0.0,2016-01-21T15:40:05+01:00
0.1,2016-01-21T15:40:28+01:00
5.5,2016-01-21T15:40:50+01:00
10.5,2016-01-21T15:41:12+01:00
15.7,2016-01-21T15:41:35+01:00
21.1,2016-01-21T15:41:57+01:00
27.7,2016-01-21T15:42:19+01:00
34.0,2016-01-21T15:42:42+01:00
37.5,2016-01-21T15:43:04+01:00
39.7,2016-01-21T15:43:27+01:00
41.2,2016-01-21T15:43:49+01:00
41.5,2016-01-21T15:44:11+01:00
42.3,2016-01-21T15:44:33+01:00
42.4,2016-01-21T15:44:56+01:00
42.5,2016-01-21T15:45:18+01:00
42.4,2016-01-21T15:45:40+01:00
42.2,2016-01-21T15:46:02+01:00
60.9,2016-01-21T15:46:25+01:00
82.5,2016-01-21T15:46:47+01:00
80.3,2016-01-21T15:47:10+01:00
78.9,2016-01-21T15:47:32+01:00
77.8,2016-01-21T15:47:54+01:00
76.7,2016-01-21T15:48:16+01:00
76.1,2016-01-21T15:48:38+01:00
75.0,2016-01-21T15:49:01+01:00
74.9,2016-01-21T15:49:23+01:00
74.0,2016-01-21T15:49:45+01:00
74.8,2016-01-21T15:50:08+01:00
74.7,2016-01-21T15:50:32+01:00
74.6,2016-01-21T15:50:54+01:00
74.6,2016-01-21T15:51:16+01:00
74.5,2016-01-21T15:51:38+01:00
108.2,2016-01-21T15:52:00+01:00
111.7,2016-01-21T15:52:23+01:00
110.7,2016-01-21T15:52:45+01:00
111.1,2016-01-21T15:53:07+01:00
111.4,2016-01-21T15:53:30+01:00
111.3,2016-01-21T15:53:52+01:00
112.0,2016-01-21T15:54:15+01:00
112.6,2016-01-21T15:54:37+01:00
112.9,2016-01-21T15:54:59+01:00
113.2,2016-01-21T15:55:21+01:00
113.1,2016-01-21T15:55:44+01:00
113.8,2016-01-21T15:56:06+01:00
114.0,2016-01-21T15:56:28+01:00
114.1,2016-01-21T15:56:50+01:00
114.1,2016-01-21T15:57:12+01:00
114.8,2016-01-21T15:57:35+01:00
87.5,2016-01-21T15:57:58+01:00
114.8,2016-01-21T15:58:20+01:00
115.1,2016-01-21T15:58:42+01:00
115.4,2016-01-21T15:59:04+01:00
115.7,2016-01-21T15:59:26+01:00
115.7,2016-01-21T15:59:49+01:00
116.2,2016-01-21T16:00:11+01:00
116.2,2016-01-21T16:00:34+01:00
116.7,2016-01-21T16:00:56+01:00
130.4,2016-01-21T16:01:19+01:00
155.1,2016-01-21T16:01:41+01:00
155.4,2016-01-21T16:02:03+01:00
155.7,2016-01-21T16:02:26+01:00
155.7,2016-01-21T16:02:49+01:00
157.1,2016-01-21T16:03:11+01:00
157.2,2016-01-21T16:03:33+01:00
157.4,2016-01-21T16:03:55+01:00
177.3,2016-01-21T16:04:18+01:00
198.5,2016-01-21T16:04:40+01:00
197.5,2016-01-21T16:05:03+01:00
198.0,2016-01-21T16:05:25+01:00
198.9,2016-01-21T16:05:47+01:00
199.7,2016-01-21T16:06:09+01:00
200.0,2016-01-21T16:06:32+01:00
200.4,2016-01-21T16:06:54+01:00
201.2,2016-01-21T16:07:16+01:00
200.8,2016-01-21T16:07:38+01:00
201.4,2016-01-21T16:08:01+01:00
201.0,2016-01-21T16:08:23+01:00
202.1,2016-01-21T16:08:46+01:00
202.5,2016-01-21T16:09:08+01:00
203.1,2016-01-21T16:09:31+01:00
201.0,2016-01-21T16:09:53+01:00
203.0,2016-01-21T16:10:15+01:00
204.4,2016-01-21T16:10:38+01:00
204.9,2016-01-21T16:11:00+01:00
204.1,2016-01-21T16:11:22+01:00
204.2,2016-01-21T16:11:44+01:00
204.6,2016-01-21T16:12:06+01:00
204.9,2016-01-21T16:12:29+01:00
205.1,2016-01-21T16:12:52+01:00
205.1,2016-01-21T16:13:15+01:00
205.2,2016-01-21T16:13:37+01:00
163.3,2016-01-21T16:13:59+01:00
163.6,2016-01-21T16:14:21+01:00
164.1,2016-01-21T16:14:44+01:00
164.5,2016-01-21T16:15:06+01:00
163.4,2016-01-21T16:15:28+01:00
163.4,2016-01-21T16:15:51+01:00
163.9,2016-01-21T16:16:14+01:00
164.6,2016-01-21T16:16:36+01:00
162.6,2016-01-21T16:16:58+01:00
163.5,2016-01-21T16:17:21+01:00
164.2,2016-01-21T16:17:44+01:00
163.4,2016-01-21T16:18:06+01:00
164.5,2016-01-21T16:18:29+01:00
161.2,2016-01-21T16:18:52+01:00
122.1,2016-01-21T16:19:14+01:00
122.1,2016-01-21T16:19:37+01:00
123.2,2016-01-21T16:20:00+01:00
121.7,2016-01-21T16:20:22+01:00
122.6,2016-01-21T16:20:44+01:00
122.0,2016-01-21T16:21:07+01:00
122.6,2016-01-21T16:21:29+01:00
105.4,2016-01-21T16:21:52+01:00
81.3,2016-01-21T16:22:14+01:00
81.8,2016-01-21T16:22:36+01:00
81.5,2016-01-21T16:22:59+01:00
81.8,2016-01-21T16:23:21+01:00
82.1,2016-01-21T16:23:44+01:00
81.6,2016-01-21T16:24:06+01:00
81.3,2016-01-21T16:24:29+01:00
82.0,2016-01-21T16:24:51+01:00
81.2,2016-01-21T16:25:13+01:00
81.0,2016-01-21T16:25:36+01:00
81.5,2016-01-21T16:25:59+01:00
81.6,2016-01-21T16:26:21+01:00
80.9,2016-01-21T16:26:44+01:00
80.4,2016-01-21T16:27:06+01:00
80.7,2016-01-21T16:27:30+01:00
81.0,2016-01-21T16:27:52+01:00
81.5,2016-01-21T16:28:15+01:00
80.6,2016-01-21T16:28:37+01:00
80.6,2016-01-21T16:29:00+01:00
